icd10_code,description
I824Y1,Acute embolism and thrombosis of unspecified deep veins of right proximal lower extremity
I824Y2,Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity
I824Y3,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral"
I824Y9,Acute embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity
I824Z1,Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity
I824Z2,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity
I824Z3,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity, bilateral"
I824Z9,Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity
I82621,Acute embolism and thrombosis of deep veins of right upper extremity
I82622,Acute embolism and thrombosis of deep veins of left upper extremity
I82623,"Acute embolism and thrombosis of deep veins of upper extremity, bilateral"
I82629,Acute embolism and thrombosis of deep veins of unspecified upper extremity
I82A11,Acute embolism and thrombosis of right axillary vein
I82A12,Acute embolism and thrombosis of left axillary vein
I82A13,"Acute embolism and thrombosis of axillary vein, bilateral"
I82A19,Acute embolism and thrombosis of unspecified axillary vein
I82B11,Acute embolism and thrombosis of right subclavian vein
I82B12,Acute embolism and thrombosis of left subclavian vein
I82B13,"Acute embolism and thrombosis of subclavian vein, bilateral"
I82B19,Acute embolism and thrombosis of unspecified subclavian vein
I82C11,Acute embolism and thrombosis of right internal jugular vein
I82C12,Acute embolism and thrombosis of left internal jugular vein
I82C13,"Acute embolism and thrombosis of internal jugular vein, bilateral"
I82C19,Acute embolism and thrombosis of unspecified internal jugular vein
I83001,Varicose veins of unspecified lower extremity with ulcer of thigh
I83002,Varicose veins of unspecified lower extremity with ulcer of calf
I83003,Varicose veins of unspecified lower extremity with ulcer of ankle
I83004,Varicose veins of unspecified lower extremity with ulcer of heel and midfoot
I83005,Varicose veins of unspecified lower extremity with ulcer other part of foot
I83008,Varicose veins of unspecified lower extremity with ulcer other part of lower leg
I83009,Varicose veins of unspecified lower extremity with ulcer of unspecified site
I83011,Varicose veins of right lower extremity with ulcer of thigh
I83012,Varicose veins of right lower extremity with ulcer of calf
I83013,Varicose veins of right lower extremity with ulcer of ankle
I83014,Varicose veins of right lower extremity with ulcer of heel and midfoot
I83015,Varicose veins of right lower extremity with ulcer other part of foot
I83018,Varicose veins of right lower extremity with ulcer other part of lower leg
I83019,Varicose veins of right lower extremity with ulcer of unspecified site
I83021,Varicose veins of left lower extremity with ulcer of thigh
I83022,Varicose veins of left lower extremity with ulcer of calf
I83023,Varicose veins of left lower extremity with ulcer of ankle
I83024,Varicose veins of left lower extremity with ulcer of heel and midfoot
I83025,Varicose veins of left lower extremity with ulcer other part of foot
I83028,Varicose veins of left lower extremity with ulcer other part of lower leg
I83029,Varicose veins of left lower extremity with ulcer of unspecified site
I83201,Varicose veins of unspecified lower extremity with both ulcer of thigh and inflammation
I83202,Varicose veins of unspecified lower extremity with both ulcer of calf and inflammation
I83203,Varicose veins of unspecified lower extremity with both ulcer of ankle and inflammation
I83204,Varicose veins of unspecified lower extremity with both ulcer of heel and midfoot and inflammation
I83205,Varicose veins of unspecified lower extremity with both ulcer other part of foot and inflammation
I83208,Varicose veins of unspecified lower extremity with both ulcer of other part of lower extremity and inflammation
I83209,Varicose veins of unspecified lower extremity with both ulcer of unspecified site and inflammation
I83211,Varicose veins of right lower extremity with both ulcer of thigh and inflammation
I83212,Varicose veins of right lower extremity with both ulcer of calf and inflammation
I83213,Varicose veins of right lower extremity with both ulcer of ankle and inflammation
I83214,Varicose veins of right lower extremity with both ulcer of heel and midfoot and inflammation
I83215,Varicose veins of right lower extremity with both ulcer other part of foot and inflammation
I83218,Varicose veins of right lower extremity with both ulcer of other part of lower extremity and inflammation
I83219,Varicose veins of right lower extremity with both ulcer of unspecified site and inflammation
I83221,Varicose veins of left lower extremity with both ulcer of thigh and inflammation
I83222,Varicose veins of left lower extremity with both ulcer of calf and inflammation
I83223,Varicose veins of left lower extremity with both ulcer of ankle and inflammation
I83224,Varicose veins of left lower extremity with both ulcer of heel and midfoot and inflammation
I83225,Varicose veins of left lower extremity with both ulcer other part of foot and inflammation
I83228,Varicose veins of left lower extremity with both ulcer of other part of lower extremity and inflammation
I83229,Varicose veins of left lower extremity with both ulcer of unspecified site and inflammation
I87011,Postthrombotic syndrome with ulcer of right lower extremity
I87012,Postthrombotic syndrome with ulcer of left lower extremity
I87013,Postthrombotic syndrome with ulcer of bilateral lower extremity
I87019,Postthrombotic syndrome with ulcer of unspecified lower extremity
I87031,Postthrombotic syndrome with ulcer and inflammation of right lower extremity
I87032,Postthrombotic syndrome with ulcer and inflammation of left lower extremity
I87033,Postthrombotic syndrome with ulcer and inflammation of bilateral lower extremity
I87039,Postthrombotic syndrome with ulcer and inflammation of unspecified lower extremity
I87311,Chronic venous hypertension (idiopathic) with ulcer of right lower extremity
I87312,Chronic venous hypertension (idiopathic) with ulcer of left lower extremity
I87313,Chronic venous hypertension (idiopathic) with ulcer of bilateral lower extremity
I87319,Chronic venous hypertension (idiopathic) with ulcer of unspecified lower extremity
I87331,Chronic venous hypertension (idiopathic) with ulcer and inflammation of right lower extremity
I87332,Chronic venous hypertension (idiopathic) with ulcer and inflammation of left lower extremity
I87333,Chronic venous hypertension (idiopathic) with ulcer and inflammation of bilateral lower extremity
I87339,Chronic venous hypertension (idiopathic) with ulcer and inflammation of unspecified lower extremity
I96,"Gangrene, not elsewhere classified"
I97810,Intraoperative cerebrovascular infarction during cardiac surgery
I97811,Intraoperative cerebrovascular infarction during other surgery
I97820,Postprocedural cerebrovascular infarction following cardiac surgery
I97821,Postprocedural cerebrovascular infarction following other surgery
J13,Pneumonia due to Streptococcus pneumoniae
J14,Pneumonia due to Hemophilus influenzae
J150,Pneumonia due to Klebsiella pneumoniae
J151,Pneumonia due to Pseudomonas
J1520,"Pneumonia due to staphylococcus, unspecified"
J15211,Pneumonia due to Methicillin susceptible Staphylococcus aureus
J15212,Pneumonia due to Methicillin resistant Staphylococcus aureus
J1529,Pneumonia due to other staphylococcus
J153,"Pneumonia due to streptococcus, group B"
J154,Pneumonia due to other streptococci
J155,Pneumonia due to Escherichia coli
J156,Pneumonia due to other Gram-negative bacteria
J1561,Pneumonia due to Acinetobacter baumannii
J1569,Pneumonia due to other Gram-negative bacteria
J158,Pneumonia due to other specified bacteria
J181,"Lobar pneumonia, unspecified organism"
J690,Pneumonitis due to inhalation of food and vomit
J691,Pneumonitis due to inhalation of oils and essences
J698,Pneumonitis due to inhalation of other solids and liquids
J80,Acute respiratory distress syndrome
J810,Acute pulmonary edema
J850,Gangrene and necrosis of lung
J851,Abscess of lung with pneumonia
J852,Abscess of lung without pneumonia
J853,Abscess of mediastinum
J860,Pyothorax with fistula
J869,Pyothorax without fistula
J9504,Tracheo-esophageal fistula following tracheostomy
J951,Acute pulmonary insufficiency following thoracic surgery
J952,Acute pulmonary insufficiency following nonthoracic surgery
J95821,Acute postprocedural respiratory failure
J95822,Acute and chronic postprocedural respiratory failure
J95851,Ventilator associated pneumonia
J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9601,Acute respiratory failure with hypoxia
J9602,Acute respiratory failure with hypercapnia
J9620,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9621,Acute and chronic respiratory failure with hypoxia
J9622,Acute and chronic respiratory failure with hypercapnia
K251,Acute gastric ulcer with perforation
K252,Acute gastric ulcer with both hemorrhage and perforation
K261,Acute duodenal ulcer with perforation
K262,Acute duodenal ulcer with both hemorrhage and perforation
K271,"Acute peptic ulcer, site unspecified, with perforation"
K272,"Acute peptic ulcer, site unspecified, with both hemorrhage and perforation"
K281,Acute gastrojejunal ulcer with perforation
K282,Acute gastrojejunal ulcer with both hemorrhage and perforation
K50012,Crohn's disease of small intestine with intestinal obstruction
K50112,Crohn's disease of large intestine with intestinal obstruction
K50812,Crohn's disease of both small and large intestine with intestinal obstruction
K50912,"Crohn's disease, unspecified, with intestinal obstruction"
K51012,Ulcerative (chronic) pancolitis with intestinal obstruction
K51912,"Ulcerative colitis, unspecified with intestinal obstruction"
K55011,Focal (segmental) acute (reversible) ischemia of small intestine
K55012,Diffuse acute (reversible) ischemia of small intestine
K55019,"Acute (reversible) ischemia of small intestine, extent unspecified"
K55021,Focal (segmental) acute infarction of small intestine
K55022,Diffuse acute infarction of small intestine
K55029,"Acute infarction of small intestine, extent unspecified"
K55031,Focal (segmental) acute (reversible) ischemia of large intestine
K55032,Diffuse acute (reversible) ischemia of large intestine
K55039,"Acute (reversible) ischemia of large intestine, extent unspecified"
K55041,Focal (segmental) acute infarction of large intestine
K55042,Diffuse acute infarction of large intestine
K55049,"Acute infarction of large intestine, extent unspecified"
K55051,"Focal (segmental) acute (reversible) ischemia of intestine, part unspecified"
